AAC1	YMR056C	309
AAC3	YBR085W	307
AAD10	YJR155W	288
AAD14	YNL331C	376
AAD15	YOL165C	143
AAD16	YFL057C	152
AAD3	YCR107W	363
AAD4	YDL243C	329
AAD6	YFL056C	374
AAH1	YNL141W	347
AAP1	YHR047C	856
AAR2	YBL074C	355
AAT1	YKL106W	451
AAT2	YLR027C	418
ABD1	YBR236C	436
ABF1	YKL112W	731
ABF2	YMR072W	183
ABM1	YJR108W	123
ABP1	YCR088W	592
ABP140	YOR239W	628
ABZ1	YNR033W	787
ABZ2	YMR289W	374
ACA1	YER045C	489
ACB1	YGR037C	87
ACC1	YNR016C	2233
ACE2	YLR131C	770
ACF2	YLR144C	779
ACF4	YJR083C	309
ACH1	YBL015W	526
ACK1	YDL203C	623
ACL4	YDR161W	387
ACM1	YPL267W	209
ACO1	YLR304C	778
ACO2	YJL200C	789
ACP1	YKL192C	125
ACS1	YAL054C	713
ACS2	YLR153C	683
ACT1	YFL039C	375
ADA2	YDR448W	434
ADD37	YMR184W	198
ADD66	YKL206C	267
ADE1	YAR015W	306
ADE12	YNL220W	433
ADE13	YLR359W	482
ADE16	YLR028C	591
ADE17	YMR120C	592
ADE2	YOR128C	571
ADE3	YGR204W	946
ADE4	YMR300C	510
ADE5,7	YGL234W	802
ADE6	YGR061C	1358
ADE8	YDR408C	214
ADF1	YCL058W-A	113
ADH1	YOL086C	348
ADH2	YMR303C	348
ADH3	YMR083W	375
ADH4	YGL256W	382
ADH5	YBR145W	351
ADH6	YMR318C	360
ADH7	YCR105W	361
ADI1	YMR009W	179
ADK1	YDR226W	222
ADK2	YER170W	225
ADO1	YJR105W	340
ADP1	YCR011C	1049
ADR1	YDR216W	1323
ADY2	YCR010C	283
ADY3	YDL239C	790
ADY4	YLR227C	493
AEP1	YMR064W	518
AEP2	YMR282C	580
AEP3	YPL005W	606
AFB1	YLR040C	224
AFG1	YEL052W	509
AFG2	YLR397C	780
AFG3	YER017C	761
AFI1	YOR129C	893
AFR1	YDR085C	620
AFT1	YGL071W	690
AFT2	YPL202C	416
AGA1	YNR044W	725
AGA2	YGL032C	87
AGC1	YPR021C	902
AGE1	YDR524C	482
